candidate_id,uri,post_created_at,post_text_raw,post_text_clean,candidate_phrase_raw,candidate_phrase_clean,candidate_phrase_alnum,candidate_source_type,candidate_rank_in_post,trend_id,trend_date,trend_name_raw,trend_name_clean,trend_key_no_hash,trend_counts,trend_num_hours,match_stage,match_method,match_score,lexical_score,semantic_token_cosine,semantic_char_trigram_jaccard,stage_rank,temporal_pool_mode,is_matched,is_ambiguous,ambiguity_count
0,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,does finally die there,does finally die there,does finally die there,ngram_4,1,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
1,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,finally die there ll,finally die there ll,finally die there ll,ngram_4,2,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
2,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,die there ll arise,die there ll arise,die there ll arise,ngram_4,3,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
3,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,ll arise a new,ll arise a new,ll arise a new,ngram_4,4,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
4,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,arise a new myth,arise a new myth,arise a new myth,ngram_4,5,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
5,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,new myth cycle about,new myth cycle about,new myth cycle about,ngram_4,6,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
6,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,cycle about the president,cycle about the president,cycle about the president,ngram_4,7,53933.0,2025-06-22,The President,the president,the president,1006219.0,4.0,semantic,token_cosine_char_trigram,0.6384530077001485,0.6842105263157895,0.7071067811865475,0.4782608695652174,1,global_fallback_no_date_overlap,True,False,1
7,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,president who waits resting,president who waits resting,president who waits resting,ngram_4,8,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
8,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,resting in his tomb,resting in his tomb,resting in his tomb,ngram_4,9,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
9,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,until when the need,until when the need,until when the need,ngram_4,10,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
